Report	Description	Product	Report Analyst	Associated ask channel	Category	Support Domain	key	Product Requirement	Rank	Product PM	Associated Product	Associated Suite	Assignment Confident Level
Amenity Reservations	This report shows information regarding the reservation of reservable (property-level) amenities and should match what is found under Residents >> Communities >> Reservations.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	amenity_reservations	No Product Requirement			Asset Operations - Configurations	Property Ops Experience	
Annual Recertification	The Annual Recertifications report provides you with a list of all HUD tenants that are nearing or going through the Annual Recertification process by showing you the progress of any notices sent and tenant response dates. This report requires the use of the Entrata Affordable product.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	annual_recertification	Entrata Affordable			Resident Operations - Sub-Vertical - Affordable	Property Ops Experience	
Answered Call Distribution	The Answered Call Distribution report shows the breakdown of calls taken by the Leasing Center in comparison to the  onsite staff. Must have Leasing Center to run report.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	answered_call_distribution	CallTracking, Leasing Center			Call Tracking	Tech-Enabled Services	
AP Aging	The AP Aging report lists all open vendor invoices and organizes the invoice balances according to the number of days the invoice is outstanding. This report is useful for analyzing the aging of the accounts payable balance. The AP Aging report details the accounts payable subsidiary ledger.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	ap_aging	Entrata Core	11-20		Financial Operations - Invoices	Property Ops Experience	
AP Payment Register	The AP Payment Register allows you to review payments that have been made along with the invoices and vendors that are associated to those payments.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	ap_payment_register	Entrata Core	21-30		Financial Operations - Payments	Property Ops Experience	
AP Payment Register (Consolidate By)	AP Payment Register (Consolidate By)	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	ap_payment_register_consolidate_by	No Product Requirement				N/A	
Application Abandon Points	The Application Abandon Points report will show real-time abandoned points for applications started in within the period selected. It will help properties to target two main goals: identify stopping points in the application and help identify leads that may need follow-up.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	online_applications_abandon_points	No Product Requirement			Online Application	Leasing	
Application Data	This report gives a high level summary of various statuses of leads/applicants who have gone through the application process starting from guest card created to lease approved. Currently all clients (core and integrated) can use this report. Report excludes Other Income profiles.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	application_data	No Product Requirement			Online Application	Leasing	
Application Detail	The Application Detail report displays details for each application in the selected period filter. Because it is based on application and not applicants only the primary applicant name will show. Report excludes Other Income profiles.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	application_detail	No Product Requirement			Online Application	Leasing	
Application Progress Summary	The Application Progress Summary Report will track how well leads are progressing through the application process and will help you to identify whether the progress is made in-office or online. The report bases its metrics on the number of started applications. This means that Started Applications will equal Abandoned Applications plus Lost Applications plus Completed Applications.No product requirements are necessary to use this report.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	online_applications	No Product Requirement			Online Application	Leasing	
Application Status	This report is only available to Entrata Users. It is not intended for client use. The report will provide detailed information on applications. Dates for each status change will be noted. Report excludes Other Income profiles.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	application_status	No Product Requirement			Online Application	Leasing	
AR Bank Deposit Allocations	The AR Bank Deposit Allocations report allows you to see a list of AR bank deposits broken down by the different charge code allocations.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Reports	ar_bank_deposit_allocations	No Product Requirement			Financial Operations - Customer Transactions	Property Ops Experience	
AR Bank Deposits	The AR Bank Deposits report provides a list of AR bank deposits made during the selected period. The report is summarized by default but can be filtered to display detailed information for each deposit.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Reports	ar_bank_deposits	Entrata Core	21-30		Financial Operations - Customer Transactions	Property Ops Experience	
AR Details	AR Details	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	System	Reports	ar_details	No Product Requirement				N/A	
AR Ledger Details	The AR Ledger Details report shows the Ledger details from accounts receivable.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	System	Reports	ar_ledger_details	No Product Requirement				N/A	
Asset Tracking	The Asset Tracking report allows you to track both the location and the condition of your company/property assets.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	asset_tracking	Entrata Core			Asset Operations - Asset Optimization	Property Ops Experience	
Asset Valuation	The Asset Valuation report allows you to track information about the company/property physical assets, including location and condition.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	asset_valuation	Entrata Core			Financial Operations - General Accounting	Property Ops Experience	
Availability	This report provides a listing of units that are currently available to be leased to potential residents. This report should be beneficial to leasing agents (on a daily basis) to allow them to identify available units when meeting with leads or existing households looking to transfer. Currently, all clients (core and integrated) can use this report. For larger texts on PDF downloads please remove disabled columns.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	availability	No Product Requirement	6-10		Marketing Strategy Hub	Marketing	
Availability Alert	The purpose of this report is to see a snapshot of leads signed up for availability alerts, the floor plan they signed up for, and the dates they are scheduled to receive the emails for.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Marketing	Reports	availability_alert	No Product Requirement			Online Application	Leasing	
Balance Sheet	The Balance Sheet report is a financial statement used by investors and owners to help them understand what their company owns, what their company owes, and what has been invested. The Balance Sheet lists a company's assets, liabilities, and equity at a particular point in time, detailing the balance of income and expenditure over the preceding period.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	balance_sheet	Entrata Core	11-20		Financial Operations - General Accounting	Property Ops Experience	
Balance Sheet by Property	The Balance Sheet by Property report mimics the traditional Balance Sheet report but allows you to see GL account balances broken down by property.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	balance_sheet_by_property	Entrata Core			Financial Operations - General Accounting	Property Ops Experience	
Balance Sheet Trailing	The Balance Sheet Report displays the account balances for balance sheet accounts, as of the end of the user defined post month.  The report summarizes the assets, liabilities, and equity of an organization with the ability to report in a trailing format.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	balance_sheet_trailing	Entrata Core			Financial Operations - General Accounting	Property Ops Experience	
Bank Accounts	Bank Accounts	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	bank_accounts	Entrata Core			Financial Operations - Payments	Property Ops Experience	
Bank Reconciliation	The Bank Reconciliation report provides an overview of completed bank reconciliations.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	bank_reconciliation	No Product Requirement			Financial Operations - Payments	Property Ops Experience	
Bank Register	The Bank Register report allows you to see all cash transactions for a property. Using the filters, you can select which bank accounts & transaction types (AR Deposits, Vendor Payments, or Journal Entries) you want to view for the selected period.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	bank_register	Entrata Core			Financial Operations - Payments	Property Ops Experience	
Batch Processing	The Batch Processing report provides details into resident payments that have been processed within Entrata.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Payments	Reports	batch_processing_new	No Product Requirement			Financial Operations - Payments	Property Ops Experience	
Billbacks	The Billbacks report displays all billback type Due To/Due From transactions that have been processed for the user-defined period.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	billbacks	No Product Requirement			Financial Operations - General Accounting	Property Ops Experience	
Billing Account Invoice Details	The Billing Account Invoice Details report will show detailed accounts of invoices received during a period for each account.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	System	Reports	billing_account_invoice_detail	No Product Requirement				N/A	
Billing Account Invoices	The Billing Account Invoices report will show the invoices received during a period for each account or property.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	System	Reports	billing_accounts_invoices	No Product Requirement				N/A	
Billing Accounts Aging	Billing Accounts Aging Report	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	System	Reports	billing_accounts_aging	No Product Requirement				N/A	
Billing Recipients	The purpose of this report is to show if a resident is opted in to receive emailed or mailed utility invoices.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Utilities	Reports	billing_recipients	ResidentUtility				N/A	
Box Score	The Box Score provides key property performance data points pertaining to unit availability, lease activity, lead traffic, and make readies. Please note that when tying the report numbers out to other reports the Lead Activity and Lead Conversion datasets are based on activity performed in the period. The report excludes Other Income profiles.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	box_score	Entrata Core, LeaseExecution, LeadManager	1-5			N/A	
Box Score - Insert Data	This report is to insert pre-aggregated data into newly created tables.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	box_score_insert_data	Entrata Core, LeaseExecution, LeadManager				N/A	
Box Score - Prior Month	This report only gives prior month data which will be pre-aggregated.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	box_score_aggregated_data	Entrata Core, LeaseExecution, LeadManager				N/A	
Budget	The Budget report displays the budgeted amounts for each GL Account in each period of the selected budget(s).	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	budget	Entrata Core, Entrata Commercial			Asset Operations - Budgeting and Job Costing	Property Ops Experience	
Budget by Property	The Budget by Property report gives users budget figures for multiple properties in a "by property" format.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	budget_by_property	Entrata Core			Asset Operations - Budgeting and Job Costing	Property Ops Experience	
Budget Comparison	This report is designed to help clients create a budget for the next year. It combines aspects of the Income Statement Budget vs Actual and the Budget report along with other additions like per unit budget.Â 	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	budget_comparison_report	No Product Requirement			Asset Operations - Budgeting and Job Costing	Property Ops Experience	
Buildings And Units	The Buildings and Units report will provide you with a detailed listing of Buildings and Units to ensure that each are appropriately set up within Entrata. This is a report that would best be used after migration and before the client uses Entrata for leasing, again to ensure all setup was completed appropriately and accurately. Currently, there are no required permissions to use this report.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	buildings_and_units	No Product Requirement			Asset Operations - Configurations	Property Ops Experience	
Bulk Monthly Reconciliation Summary	Shows summary data from the Monthly Reconciliation Report with multiple properties at the same time.  Also included are variance errors.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	bulk_monthly_reconciliation	Entrata Core				N/A	
Bulk Unit Assignment Progress	The purpose of this report is to allow managers to see their progress that their properties have made in regards to the BUA, and allow them to see it for each different lease term.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	bulk_unit_assignment_progress	Entrata Core			Entrata Student	N/A	
Call Caps Volume Summary	A report to show an overview of call cap information for those with Leasing Center Contracts and their current call volume.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Communications	Reports	call_caps_volume_summary	No Product Requirement			Leasing Center	Tech-Enabled Services	
Call Center Maintenance Calls	The Call Center Maintenance Calls report shows the count of maintenance related calls received by the leasing center. The report has two sections. The Call Center Maintenance Calls section displays a count by type; maintenance calls, maintenance emergency calls, work orders. The Calls by Hour section displays all calls received by hour of the day and includes a total call count.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Maintenance	Reports	call_center_maintenance_calls	No Product Requirement			Asset Operations - Facilities Management	Property Ops Experience	
Call Distribution	The Call Distribution report helps you analyze the distribution of your calls; when they came in (by day and hour), what type of caller it was, whether it was answered or missed, and more. For those using the Leasing Center product, extra datasets are available to analyze its effectiveness.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Communications	Reports	call_distribution	No Product Requirement			Leasing Center	Tech-Enabled Services	
Call Pathway	The Call Pathway report shows where calls are ending both answered and unanswered. The report shows the path the call has taken from greeting to leasing center.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Communications	Reports	call_pathway	CallTracking, Leasing Center			Leasing Center	Tech-Enabled Services	
Call Performance	The Call Performance Report shows the ranking and performance of agents and properties how they compare to against the rest of the portfolio.  Must have Call Analysis to run this report.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Communications	Reports	call_performance	CallAnalysis			Leasing Center	Tech-Enabled Services	
Call Tracker Calls By Result	The Call Tracker Calls By Result report shows a break down of what calls have been received within Call Tracker and their results as of the selected time period.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Communications	Reports	call_tracker_calls_by_result	CallTracking			Leasing Center	Tech-Enabled Services	
Call Tracking Summary	The Call Tracking Summary Report shows you an overview of how many calls you are getting per lead source/vanity number.  The Report will also break down Cost per lead (manually enter your lead source costs in settings) and give a total number of calls received for the month.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Communications	Reports	call_tracking_summary	CallTracking, Leasing Center			Leasing Center	Tech-Enabled Services	
CallAnalysis Audit	This report will show an individual line for each call, the evaluation result of the call (stating if it is elgible to be scored), and the score it received. This report can be grouped by leasing agent or property.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Communications	Reports	callanalysis_audit	No Product Requirement			Leasing Center	Tech-Enabled Services	
CallAnalysis Results	The CallAnalysis Results report will give an overview of the call results from call analysis. It will shows what the Leasing Center graders finished, evaluated and analyzed. (This report is only looking at Call Analysis calls and will not tie out to other call tracker reports.) Must have CallAnalysis to run this report. This report only considers Lead calls	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Communications	Reports	callanalysis_results	CallAnalysis			Leasing Center	Tech-Enabled Services	
CallAnalysis Scorecard	The Call Analysis scorecard report shows the performance of a property based on the score they receive in Call Analysis.Must have Call Analysis product to run this report	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Communications	Reports	callanalysis_scorecard	CallAnalysis			Leasing Center	Tech-Enabled Services	
Carvajal Transactions	This report allows you to see all transactions that are being sent to and back from the Mexican Government (Carvajal) in order to track the transmissions of invoices (charges) and receipts (payments) to and from Carvajal.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	carvajal_transactions	Entrata Core			-- Entrata International	N/A	
Cash Balance Summary	The Cash Balance Summary report provides you insight into current cash balances based on current information related to cash deposits, payments in transit, checks written, and outstanding payables.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	cash_balance_summary	Entrata Core			Financial Operations - General Accounting	Property Ops Experience	
Cash Flow Statement	The Cash Flow Statement details the net change in cash during the user defined period. This report is helpful in analyzing the sources and uses of cash throughout various activities.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	cash_flow_statement	Entrata Core			Financial Operations - General Accounting	Property Ops Experience	
Cash Flow Statement by Property	The Cash Flow Statement by Property report mimics the traditional Cash Flow Statement report but allows you to see GL account balances broken down by property.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	cash_flow_statement_by_property	Entrata Core			Financial Operations - General Accounting	Property Ops Experience	
Cash Position	The Cash Position report provides users additional detail to ending cash balances.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	cash_position	Entrata Core			Financial Operations - General Accounting	Property Ops Experience	
Catalog Items	The Catalog Items report displays a list of all catalog items along with information and settings related to each catalog item.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	catalog_items	No Product Requirement			Asset Operations - Asset Optimization	Property Ops Experience	
Certifications	This report is to give users the ability to pull the current certification of all residents within the selected Affordable properties.  This would allow users to be able to audit the list to ensure the reports are current and the details of the certifications are proper.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	certifications	Entrata Affordable			Resident Operations - Sub-Vertical - Affordable	Property Ops Experience	
Charge Adjustment Journal	The Charge Adjustment Journal report allows you to see what adjustments have been made to charges within a specific post month in order to reconcile such adjustments and to determine if inappropriate adjustments are being made	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	charge_adjustment_journal	Entrata Core				N/A	
Charge Code Details	This report provides you with the details on the charge code setup for each of your properties.  This is especially helpful when researching or auditing accounting setup.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	System	Reports	system_charge_code_details	Entrata Core, Entrata Affordable, Entrata Commercial			Financial Operations - Customer Transactions	Property Ops Experience	
Chart of Accounts	The Chart of Accounts report displays all of the present General Ledger Accounts on a single chart along with other optional information.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	chart_of_accounts	Entrata Core			Financial Operations - General Accounting	Property Ops Experience	
Chats	The Chats report shows statistics regarding the number of chats received by the property as well as key performance indicators.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Communications	Reports	chats	No Product Requirement			Message Center	Marketing	
Check21 Batches	The Check21 Batches report will show details regarding batches that are scanned into Entrata. You will be able to view the check images and print a summary of the batches through the report.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Payments	Reports	check21_batches	No Product Requirement			Financial Operations - Payments	Property Ops Experience	
Close Reasons	The Close Reasons Report provides information on why leads have been cancelled or archived. This information is based on the reason that is selected at the time of cancellation. Report excludes Other Income profiles.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	close_reasons	No Product Requirement			Lead Management	Marketing	
Collections Status	This report will provide greater detail into residents going through the collections process or those who potentially will be in the collections process.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	collections_status	Entrata Core			Financial Operations - Revenue Protection	Property Ops Experience	
Commercial Contacts	This report provides the user an easy way to see all associated contacts for their tenant	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	commercial_contacts	No Product Requirement			Entrata Commercial	N/A	
Commercial Lease Clauses	This report consolidates all of their tenant's clauses into one place, allowing you to filter by clause, display the tenant, clause and clause details.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	commercial_lease_clauses	No Product Requirement			Entrata Commercial	N/A	
Commercial Rent Roll	The Commercial Rent Roll report is a version of the standard Rent Roll that is specifically geared towards commercial properties. This report gives you a high-level overview of the rent and transactional impact for all suites and tenants within the property as well as an Occupancy Summary breakdown for each building within the property. Currently, only clients that have access to the Commercial product can use this report.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	commercial_rent_roll	Entrata Commercial			Resident Operations - Sub-Vertical -Commercial	Property Ops Experience	
Committed Costs	This report is meant to provide insight to the Accruals journal entry posting.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Reports	committed_costs	Entrata Core			Financial Operations - General Accounting	Property Ops Experience	
Committed Costs Summary	This report provides a summary view of committed costs by job cost code.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Reports	committed_costs_summary	Entrata Job Costing			Asset Operations - Budgeting and Job Costing	Property Ops Experience	
Communicaty Events	The Events report will provide you with a list of all active events that have been created for the selected properties along with various details on each event. Currently, there are no required permissions in order to use this report This report will pull those events that have been created within Residents >> Community >> Events.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	community_events	No Product Requirement			Resident Portal	Resident XP	
Comparative Delinquency	This purpose of this report is to compare delinquency across similar periods to find aberrations in data. The report goes through the progression of Charges Due minus Collections yields Delinquency. Additional options are included to show the Balance at the end of the period, and collections and delinquency on Charges Due after the period.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	comparative_delinquency	Entrata Core	21-30		Financial Operations - Revenue Protection	Property Ops Experience	
Comparative Income Statement	The Comparative Income Statement is an Income Statement that compares a company's current revenues and expenses to those from historical periods through the use of additional columns. By comparing the results from multiple historical periods a company can see how they are performing over time.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	comparative_income_statement	Entrata Core			Financial Operations - General Accounting	Property Ops Experience	
Compliance Summary	The Compliance Summary report shows the compliance level of each vendor a property uses.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	compliance_summary	Entrata Core			Financial Operations - Vendors	Property Ops Experience	
Concessions	The Concessions report shows information regarding leases with at least one transaction from Charge Codes selected in the Concessions filter within the range created by the user selecting a Period and additional Trailing and Future Periods. The report has two sections: Resident Concessions and Concessions Burn-off.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	concessions	Entrata Core				N/A	
Consumption Log	The Consumption Log report provides a list of all inventory consumed during a given date range or post month.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	consumption_log	Entrata Core			Asset Operations - Asset Optimization	Property Ops Experience	
Contact Forms	This report will display all the contact forms that have been submitted by residents, and all the information that has been submitted for each contact form. This report will also display contact forms that have been deleted.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	contact_forms	ResidentPortal, Leasing Center, Entrata PaaS			Resident Portal	Resident XP	
Contact Point Details	This report is only available to Entrata Users. It is not intended for client use ever. We need to keep the report clean as it is used for the majority of Drill ins. The report will provide data for drill-in on all other Contact Point reports.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	contact_point_details	LeadManager			Lead Management	Marketing	
Contact Points Analysis	The Contact Point Analysis report helps gauge how well the property and leasing agents are at responding to leads that need follow-up. The Lead Manager Product is required to run this report. Report excludes Other Income profiles.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	contact_points_analysis	LeadManager			Lead Management	Marketing	
Contract Summary	The Contract Summary report gives users a summary of contract amounts, expenses, and retention organized by contract, grouped by job cost code.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	contract_summary	Entrata Job Costing			Asset Operations - Budgeting and Job Costing	Property Ops Experience	
Convenience Fee Clearing	For clients using convenience fee clearing, the Convenience Fee Clearing Report will show details concerning the billing for resident payments. It will list the resident's convenience fee, the management fee, and the net fee as well as settlement information.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Payments	Reports	convenience_fee_clearing	No Product Requirement			Financial Operations - Payments	Property Ops Experience	
Conversion Pathway	The purpose of this report is to display highest conversion pathways and give marketers more insight as to how they may want to allocate future marketing spend across lead sources. Report excludes Other Income profiles.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	conversion_pathway	No Product Requirement			Marketing Strategy Hub	Marketing	
Corporate Leads Billing	The Corporate Billing report is designed to show invoice details for screenings of Corporate Leads in a given month.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	corporate_leads_billing	No Product Requirement			Resident Operations - Sub-Vertical -Commercial	Property Ops Experience	
Cost Code Setup	The Job Cost Codes report gives Job Costing users the ability to see cost code set up in a report format.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	cost_code_setup	Entrata Job Costing			Asset Operations - Budgeting and Job Costing	Property Ops Experience	
Courses	The Courses report will show which employees have completed, failed, or failed to complete training courses that have been assigned.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	System	Reports	courses	No Product Requirement			Permissions/users/groups	Central Services & Data Management Platform	
Craigslist Ad Activity	The Craiglist Ad Activity Report will show how many ads are being posted to Craigslist and how many website visits result from the ads. It can be summarized by property, leasing agent, month, or floorplan.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Marketing	Reports	craigslist_ad_activity	Craigslist Posting			Craigslist	Marketing	
Craigslist Posting Performance	The Craigslist Posting Performance Report will show the number of ads that are posted and the average time it took to create and post the ad.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Marketing	Reports	craigslist_posting_performance	Craigslist Posting			Craigslist	Marketing	
Custom Tags	This Custom Tags report displays all AP, AR and JE activity by custom tag.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	custom_tags	Entrata Core			Financial Operations - General Accounting	Property Ops Experience	
